NO;nama provinsi;nama kabupaten kota;jenis tempat hiburan;jumlah tempat hiburan;tahun
254;JAWA BARAT;KOTA DEPOK;KARAOKE/BAR;0;2015
255;JAWA BARAT;KOTA DEPOK;PANTI PIJAT;0;2015
256;JAWA BARAT;KOTA CIMAHI;NIGHT CLUB;0;2015
257;JAWA BARAT;KOTA CIMAHI;PUB;0;2015
258;JAWA BARAT;KOTA CIMAHI;DISKOTIK;0;2015
259;JAWA BARAT;KOTA CIMAHI;KARAOKE/BAR;0;2015
260;JAWA BARAT;KOTA CIMAHI;PANTI PIJAT;0;2015
261;JAWA BARAT;KOTA TASIKMALAYA;NIGHT CLUB;0;2015
262;JAWA BARAT;KOTA TASIKMALAYA;PUB;0;2015
263;JAWA BARAT;KOTA TASIKMALAYA;DISKOTIK;0;2015
264;JAWA BARAT;KOTA TASIKMALAYA;KARAOKE/BAR;5;2015
265;JAWA BARAT;KOTA TASIKMALAYA;PANTI PIJAT;0;2015
266;JAWA BARAT;KOTA BANJAR;NIGHT CLUB;0;2015
267;JAWA BARAT;KOTA BANJAR;PUB;0;2015
268;JAWA BARAT;KOTA BANJAR;DISKOTIK;0;2015
269;JAWA BARAT;KOTA BANJAR;KARAOKE/BAR;0;2015
270;JAWA BARAT;KOTA BANJAR;PANTI PIJAT;0;2015
271;JAWA BARAT;KABUPATEN BOGOR;NIGHT CLUB;0;2016
272;JAWA BARAT;KABUPATEN BOGOR;PUB;0;2016
273;JAWA BARAT;KABUPATEN BOGOR;DISKOTIK;0;2016
274;JAWA BARAT;KABUPATEN BOGOR;KARAOKE/BAR;0;2016
275;JAWA BARAT;KABUPATEN BOGOR;PANTI PIJAT;43;2016
276;JAWA BARAT;KABUPATEN SUKABUMI;NIGHT CLUB;0;2016
277;JAWA BARAT;KABUPATEN SUKABUMI;PUB;0;2016
278;JAWA BARAT;KABUPATEN SUKABUMI;DISKOTIK;0;2016
279;JAWA BARAT;KABUPATEN SUKABUMI;KARAOKE/BAR;0;2016
280;JAWA BARAT;KABUPATEN SUKABUMI;PANTI PIJAT;0;2016
281;JAWA BARAT;KABUPATEN CIANJUR;NIGHT CLUB;0;2016
282;JAWA BARAT;KABUPATEN CIANJUR;PUB;0;2016
283;JAWA BARAT;KABUPATEN CIANJUR;DISKOTIK;2;2016
284;JAWA BARAT;KABUPATEN CIANJUR;KARAOKE/BAR;8;2016
285;JAWA BARAT;KABUPATEN CIANJUR;PANTI PIJAT;0;2016
286;JAWA BARAT;KABUPATEN BANDUNG;NIGHT CLUB;0;2016
287;JAWA BARAT;KABUPATEN BANDUNG;PUB;0;2016
288;JAWA BARAT;KABUPATEN BANDUNG;DISKOTIK;0;2016
289;JAWA BARAT;KABUPATEN BANDUNG;KARAOKE/BAR;1;2016
290;JAWA BARAT;KABUPATEN BANDUNG;PANTI PIJAT;0;2016
291;JAWA BARAT;KABUPATEN GARUT;NIGHT CLUB;0;2016
292;JAWA BARAT;KABUPATEN GARUT;PUB;0;2016
293;JAWA BARAT;KABUPATEN GARUT;DISKOTIK;0;2016
294;JAWA BARAT;KABUPATEN GARUT;KARAOKE/BAR;1;2016
295;JAWA BARAT;KABUPATEN GARUT;PANTI PIJAT;0;2016
296;JAWA BARAT;KABUPATEN TASIKMALAYA;NIGHT CLUB;0;2016
297;JAWA BARAT;KABUPATEN TASIKMALAYA;PUB;0;2016
298;JAWA BARAT;KABUPATEN TASIKMALAYA;DISKOTIK;0;2016
299;JAWA BARAT;KABUPATEN TASIKMALAYA;KARAOKE/BAR;0;2016
300;JAWA BARAT;KABUPATEN TASIKMALAYA;PANTI PIJAT;0;2016
301;JAWA BARAT;KABUPATEN CIAMIS;NIGHT CLUB;0;2016
302;JAWA BARAT;KABUPATEN CIAMIS;PUB;0;2016
303;JAWA BARAT;KABUPATEN CIAMIS;DISKOTIK;0;2016
304;JAWA BARAT;KABUPATEN CIAMIS;KARAOKE/BAR;3;2016
305;JAWA BARAT;KABUPATEN CIAMIS;PANTI PIJAT;0;2016
306;JAWA BARAT;KABUPATEN KUNINGAN;NIGHT CLUB;0;2016
